cohort	aim	term	n	b	lo	hi	p	evalue
PCAWG_nonTCGA	A1	chromo	421	-0.058667938096944205	-0.26254853362327124	0.14521265742938286	0.5719450081371031	1.295350477122604
PCAWG_nonTCGA	A1	WGD	421	-0.1510780175346294	-0.3669178908169575	0.06476185574769872	0.16959661122218506	1.5585984998286593
PCAWG_nonTCGA_SOLID	A1_lineage	WGD	260	-0.06920958486397955	-0.3044795036718714	0.1660603339439123	0.5628887061861849	1.328126296250248
PCAWG_nonTCGA_LYMPHOID	A1_lineage	WGD	161	-0.25447051311040764	-0.8950502864197205	0.3861092601989053	0.43382908657382824	1.8337023907233228
Kidney-RCC	A1_per_histology	WGD	47	0.16494211887591406			0.7059878438948007	
Liver-HCC	A1_per_histology	WGD	48	-0.18341410042933282			0.5802751494339802	
Lymph-BNHL	A1_per_histology	WGD	96	-0.1475506099325144			0.6056135470842617	
Ovary-AdenoCA	A1_per_histology	WGD	68	-0.44652584681633545			0.06771554677970648	
Panc-AdenoCA	A1_per_histology	WGD	75	-0.040709864323431585			0.8716004286375226	
PCAWG_nonTCGA	A2	total	421	-0.15903305682377167				
PCAWG_nonTCGA	A2	direct	421	-0.0031456171307314568				
PCAWG_nonTCGA	A2	indirect SENSOR	421	-0.026044531072575015				
PCAWG_nonTCGA	A2	indirect APM	421	-0.12984290862046513				
